order_id,rating
TX3595,1
TX2740,5
TX4997,1
TX2758,2
TX1179,4
TX2155,2
TX1745,2
TX4169,5
TX1859,4
TX1795,5
TX2493,4
TX2441,3
TX4668,5
TX2033,4
TX1540,1
TX3909,5
TX1759,5
TX3781,3
TX2753,5
TX2717,1
TX933,4
TX4829,1
TX1351,4
TX4871,2
TX1746,1
TX3193,3
TX558,1
TX4382,3
TX3325,3
TX3474,3
TX2422,3
TX2532,4
TX3864,2
TX1577,5
TX2266,5
TX3794,2
TX116,1
TX4416,3
TX2129,4
TX48,5
TX3451,2
TX210,5
TX3901,1
TX135,1
TX398,4
TX1258,2
TX2700,1
TX4606,5
TX1910,2
TX2093,2
TX2007,2
TX642,1
TX188,3
TX3698,2
TX2965,3
TX3317,3
TX2534,5
TX757,2
TX227,4
TX1612,4
TX2470,4
TX2515,2
TX3141,3
TX181,4
TX1320,4
TX1666,2
TX117,1
TX1106,2
TX4369,4
TX3558,1
TX4934,2
TX1396,5
TX4609,4
TX567,2
TX3802,4
TX2485,2
TX97,1
TX1891,4
TX4900,3
TX4287,5
TX4922,4
TX4483,2
TX4414,2
TX3843,5
TX4290,1
TX2284,1
TX1751,3
TX1041,4
TX258,5
TX2552,3
TX4850,2
TX2946,1
TX3030,5
TX578,5
TX2730,4
TX2978,1
TX2341,3
TX723,1
TX488,4
TX3241,1
TX2239,4
TX3705,2
TX2347,1
TX810,2
TX2009,1
TX871,1
TX3823,1
TX1254,1
TX3905,2
TX2970,4
TX2559,4
TX1319,2
TX394,4
TX4762,1
TX4981,3
TX1767,4
TX714,2
TX3368,5
TX1188,2
TX1467,2
TX1699,5
TX843,3
TX4656,3
TX1580,5
TX2683,1
TX1160,1
TX3809,5
TX2780,3
TX1825,4
TX2002,1
TX882,2
TX3068,5
TX4200,1
TX996,3
TX3448,4
TX3817,2
TX4394,4
TX4873,2
TX3263,5
TX3929,5
TX1060,1
TX4918,2
TX4965,5
TX4745,5
TX1099,5
TX2343,3
TX3206,5
TX3850,2
TX1024,2
TX3319,4
TX3507,2
TX2547,3
TX3048,3
TX1823,2
TX1159,3
TX1056,5
TX2629,4
TX2969,2
TX1005,5
TX2537,2
TX2123,5
TX3450,2
TX2718,1
TX4317,1
TX2367,4
TX2181,2
TX3471,4
TX3246,3
TX693,3
TX3262,2
TX4931,1
TX3387,1
TX3000,5
TX4053,2
TX3165,5
TX613,2
TX3294,3
TX2419,1
TX79,3
TX638,2
TX3581,4
TX2218,5
TX3535,1
TX1970,5
TX19,2
TX4104,1
TX2052,1
TX49,3
TX3841,4
TX841,1
TX2215,3
TX1664,5
TX3857,1
TX2293,1
TX225,5
TX1238,1
TX676,3
TX1491,4
TX514,3
TX4115,2
TX3216,5
TX2478,2
TX3894,3
TX2207,3
TX2032,2
TX3944,5
TX3910,1
TX1388,4
TX4295,4
TX1896,4
TX2982,5
TX3561,5
TX3668,4
TX2337,4
TX1852,4
TX4975,1
TX3228,3
TX4628,5
TX4401,1
TX3851,2
TX4334,5
TX2240,4
TX2149,5
TX4910,3
TX4441,1
TX4201,5
TX1499,3
TX3362,2
TX275,4
TX4231,5
TX1131,5
TX4240,4
TX1782,2
TX44,1
TX2277,2
TX522,1
TX2085,5
TX571,2
TX3222,5
TX4277,3
TX625,1
TX4049,3
TX2919,1
TX3212,1
TX2900,1
TX4298,1
TX2501,1
TX557,2
TX1004,2
TX2854,1
TX809,4
TX513,3
TX1520,4
TX1754,5
TX4754,1
TX4188,4
TX760,4
TX2260,3
TX4840,4
TX2305,2
TX4340,3
TX1555,2
TX2297,3
TX2865,3
TX2481,3
TX846,1
TX2682,2
TX742,2
TX1907,4
TX4008,1
TX21,5
TX2258,1
TX3408,2
TX1947,1
TX802,5
TX100,1
TX2598,2
TX929,4
TX4244,2
TX3458,5
TX2685,1
TX4274,5
TX160,3
TX3404,2
TX2047,3
TX2804,1
TX1228,5
TX2106,1
TX4699,2
TX2567,2
TX4906,5
TX1968,1
TX149,5
TX3468,4
TX1148,5
TX4050,1
TX1142,5
TX2626,2
TX2979,1
TX4662,5
TX3603,5
TX4727,5
TX1707,5
TX1038,2
TX1027,1
TX1747,2
TX2132,3
TX4454,5
TX653,5
TX854,3
TX2616,1
TX4023,1
TX2405,5
TX4515,3
TX1684,2
TX4564,4
TX4652,5
TX4484,5
TX2533,1
TX1803,3
TX621,5
TX4078,5
TX3517,3
TX4469,3
TX1951,5
TX2845,1
TX3022,5
TX415,5
TX4589,2
TX4945,3
TX1376,4
TX1863,1
TX2067,5
TX745,5
TX154,1
TX3405,5
TX2021,1
TX3290,1
TX3353,4
TX339,5
TX1277,2
TX289,1
TX3249,5
TX4795,4
TX2506,2
TX915,2
TX2677,2
TX4619,2
TX4022,2
TX2801,4
TX3844,3
TX2996,3
TX3672,4
TX4604,4
TX133,1
